# ID,targets
10,2
14,7
23,2
25,7
36,2
41,7
43,2
46,2
49,7
51,7
52,7
54,7
59,7
61,7
82,7
86,7
92,2
93,7
96,7
99,2
100,7
104,7
107,7
108,2
109,2
116,2
119,2
127,2
133,2
137,2
144,7
145,7
153,7
154,7
166,2
172,7
177,7
180,7
182,7
187,7
189,7
191,7
192,2
193,2
195,2
201,7
202,2
211,2
214,2
224,7
226,7
227,2
229,7
240,2
248,2
256,7
260,2
273,2
275,7
288,2
291,7
300,2
301,7
302,2
311,7
319,2
330,2
333,2
334,2
338,2
349,2
350,7
351,2
355,7
356,7
360,2
366,2
373,2
377,2
378,7
379,7
381,7
383,7
387,7
391,7
394,7
395,2
400,7
409,7
411,7
416,7
417,2
419,2
420,2
440,2
445,2
447,2
460,2
462,2
471,2
473,2
480,7
482,2
483,7
489,2
494,2
499,7
507,7
511,2
513,2
527,7
533,7
537,7
539,2
546,2
549,2
550,2
555,7
562,2
573,7
577,2
579,7
580,7
585,2
591,7
597,7
602,7
604,2
607,2
614,7
619,2
620,2
624,7
627,7
630,2
637,7
645,2
649,7
656,7
675,7
678,2
679,7
681,7
692,2
699,7
704,2
710,2
724,2
731,7
739,7
741,7
744,7
750,7
754,7
756,7
758,7
759,7
776,7
783,2
786,2
793,2
796,7
811,2
819,7
820,7
823,7
827,7
829,2
831,7
835,2
837,2
839,2
842,7
844,2
847,2
863,7
871,7
874,2
875,7
876,2
885,2
896,7
900,7
920,7
922,2
929,2
940,2
945,7
950,7
954,7
958,7
972,7
980,7
982,7
988,7
995,2
997,7
998,2
1001,2
1005,7
1007,2
1014,7
1018,2
1022,2
1028,2
1031,7
1034,2
1035,2
1038,7
1039,2
1040,2
1047,2
1060,7
1066,2
1067,2
1074,2
1075,7
1079,7
1081,2
1095,7
1099,2
1102,2
1104,2
1105,7
1108,7
1110,2
1113,2
1120,7
1127,2
1128,7
1139,2
1141,2
1159,7
1160,7
1166,7
1175,2
1184,7
1185,2
1206,2
1208,7
1232,7
1242,7
1243,7
1246,7
1249,7
1250,7
1262,2
1263,7
1266,2
1275,7
1289,2
1292,7
1298,7
1324,2
1328,2
1336,7
1340,7
1347,7
1349,2
1355,2
1361,2
1364,7
1372,2
1375,7
1385,2
1387,2
1392,7
1393,7
1396,7
1398,7
1412,2
1417,7
1421,2
1427,2
1447,7
1449,2
1470,2
1478,2
1479,2
1486,7
1487,7
1488,2
1489,7
1493,2
1498,7
1516,2
1523,7
1528,2
1531,2
1532,7
1536,7
1543,2
1552,2
1553,7
1554,2
1579,7
1587,2
1588,2
1590,7
1594,7
1598,2
1605,7
1613,7
1615,7
1617,7
1618,7
1625,2
1626,2
1635,7
1653,7
1655,7
1659,7
1675,7
1684,7
1692,7
1697,2
1699,7
1702,7
1717,7
1720,7
1722,2
1725,2
1726,2
1735,7
1739,2
1740,2
1746,7
1753,7
1760,2
1761,2
1762,7
1766,2
1775,2
1779,2
1788,7
1794,2
1795,7
1796,7
1801,2
1802,7
1803,7
1811,7
1812,2
1815,7
1818,7
1833,7
1842,7
1844,7
1850,2
1852,7
1855,7
1858,2
1861,7
1867,2
1869,7
1873,7
1876,7
1886,2
1894,7
1897,2
1900,7
1903,2
1913,2
1917,7
1920,7
1925,7
1928,2
1929,7
1933,2
1937,2
1940,7
1944,2
1953,2
1954,2
1956,7
1968,7
1971,7
1973,7
1974,2
1993,2
1994,7
1996,7
1997,2
1998,7
2004,7
2007,7
2009,7
2024,7
2043,7
2044,2
2045,7
2048,2
2054,2
2056,2
2063,7
2065,7
2070,2
2077,2
2084,7
2090,7
2091,7
2092,7
2096,7
2098,7
2104,7
2105,7
2107,7
2110,2
2112,7
2115,2
2130,2
2135,2
2149,7
2150,7
2153,2
2157,7
2159,7
2165,7
2173,7
2178,7
2182,2
2184,7
2188,7
2189,7
2191,7
2194,7
2195,7
2198,7
2213,7
2215,2
2219,7
2250,2
2273,2
2293,7
2300,7
2308,7
2309,7
2310,2
2314,2
2317,2
2322,2
2325,7
2328,7
2330,2
2332,2
2351,7
2358,7
2367,7
2372,2
2377,7
2378,2
2385,2
2388,7
2393,7
2395,2
2402,2
2403,2
2404,7
2411,2
2417,2
2419,7
2423,7
2424,7
2427,7
2430,7
2431,7
2432,2
2433,2
2446,2
2449,7
2450,2
2454,7
2461,7
2466,7
2479,2
2483,2
2484,7
2486,7
2491,7
2492,2
2493,7
2494,2
2497,7
2500,7
2507,7
2510,2
2517,7
2521,7
2529,2
2530,2
2531,2
2537,7
2544,2
2552,2
2558,7
2560,7
2571,7
2573,2
2576,7
2588,7
2591,7
2596,7
2598,7
2599,2
2608,2
2610,2
2612,7
2614,7
2616,2
2622,7
2626,7
2627,7
2629,2
2631,7
2636,7
2637,7
2640,2
2643,7
2644,2
2651,7
2654,2
2656,2
2658,2
2659,7
2667,7
2670,2
2677,2
2683,7
2686,2
2697,2
2706,7
2708,2
2709,2
2710,2
2711,2
2716,7
2717,2
2723,7
2732,7
2735,7
2736,7
2737,7
